INFO:root:2022-01-02 11:46:48.014910; Ob received for BTC-PLN; timestamp: 1641120410352
INFO:root:2022-01-02 11:46:48.776432; Ob received for BTC-PLN; timestamp: 1641120411050
INFO:root:2022-01-02 11:46:50.838593; Ob received for BTC-PLN; timestamp: 1641120413111
INFO:root:2022-01-02 11:46:51.814177; Ob received for BTC-PLN; timestamp: 1641120414846
INFO:root:2022-01-02 11:46:53.009766; Ob received for BTC-PLN; timestamp: 1641120415439
INFO:root:2022-01-02 11:46:54.811625; Ob received for BTC-PLN; timestamp: 1641120417297
INFO:root:2022-01-02 11:46:55.875274; Ob received for BTC-PLN; timestamp: 1641120418210
INFO:root:2022-01-02 11:46:56.475131; Ob received for BTC-PLN; timestamp: 1641120418666
INFO:root:2022-01-02 11:46:57.099458; Ob received for BTC-PLN; timestamp: 1641120419625
INFO:root:2022-01-02 11:47:00.428858; Ob received for BTC-PLN; timestamp: 1641120422888
INFO:root:2022-01-02 11:47:02.887254; Ob received for BTC-PLN; timestamp: 1641120425867
INFO:root:2022-01-02 11:47:05.905866; Ob received for BTC-PLN; timestamp: 1641120428854
INFO:root:2022-01-02 11:47:07.991915; Ob received for BTC-PLN; timestamp: 1641120430705
INFO:root:2022-01-02 11:47:08.944514; Ob received for BTC-PLN; timestamp: 1641120431868
INFO:root:2022-01-02 11:47:10.769386; Ob received for BTC-PLN; timestamp: 1641120432890
INFO:root:2022-01-02 11:47:12.763850; Ob received for BTC-PLN; timestamp: 1641120434888
INFO:root:2022-01-02 11:47:14.751485; Ob received for BTC-PLN; timestamp: 1641120436932
INFO:root:2022-01-02 11:47:15.391926; Ob received for BTC-PLN; timestamp: 1641120437882
INFO:root:2022-01-02 11:47:17.955546; Ob received for BTC-PLN; timestamp: 1641120440154
INFO:root:2022-01-02 11:47:19.365118; Ob received for BTC-PLN; timestamp: 1641120442053
INFO:root:2022-01-02 11:47:20.400168; Ob received for BTC-PLN; timestamp: 1641120442879
INFO:root:2022-01-02 11:47:21.792229; Ob received for BTC-PLN; timestamp: 1641120443912
INFO:root:2022-01-02 11:47:22.387309; Ob received for BTC-PLN; timestamp: 1641120444884
INFO:root:2022-01-02 11:47:23.229626; Ob received for BTC-PLN; timestamp: 1641120445469
INFO:root:2022-01-02 11:47:23.823916; Ob received for BTC-PLN; timestamp: 1641120446444
INFO:root:2022-01-02 11:47:25.764452; Ob received for BTC-PLN; timestamp: 1641120447871
INFO:root:2022-01-02 11:47:26.767992; Ob received for BTC-PLN; timestamp: 1641120449068
INFO:root:2022-01-02 11:47:27.768683; Ob received for BTC-PLN; timestamp: 1641120450850
INFO:root:2022-01-02 11:47:29.756182; Ob received for BTC-PLN; timestamp: 1641120452890
INFO:root:2022-01-02 11:47:31.490585; Ob received for BTC-PLN; timestamp: 1641120453886
INFO:root:2022-01-02 11:47:32.862428; Ob received for BTC-PLN; timestamp: 1641120454860
INFO:root:2022-01-02 11:47:33.948512; Ob received for BTC-PLN; timestamp: 1641120456824
INFO:root:2022-01-02 11:47:39.707625; Ob received for BTC-PLN; timestamp: 1641120462226
INFO:root:2022-01-02 11:47:41.094515; Ob received for BTC-PLN; timestamp: 1641120463510
INFO:root:2022-01-02 11:47:43.006941; Ob received for BTC-PLN; timestamp: 1641120465178
